Open,Current Price,From Open,Time,Date
32.5,31.19,-1.3099999999999987,173752,20200419
32.5,31.19,-1.3099999999999987,173755,20200419
32.5,31.19,-1.3099999999999987,173757,20200419
32.5,31.19,-1.3099999999999987,173759,20200419
32.5,31.19,-1.3099999999999987,173802,20200419
32.5,31.19,-1.3099999999999987,173804,20200419
32.5,31.19,-1.3099999999999987,173819,20200419
32.5,31.19,-1.3099999999999987,173821,20200419
32.5,31.19,-1.3099999999999987,173823,20200419
32.5,31.19,-1.3099999999999987,173825,20200419
32.5,31.19,-1.3099999999999987,173828,20200419
32.5,31.19,-1.3099999999999987,173830,20200419
32.5,31.19,-1.3099999999999987,173832,20200419
32.5,31.19,-1.3099999999999987,173834,20200419
