Open,Current Price,From Open,Time,Date
313.14,318.81,-5.670000000000016,142555,20200520
313.14,318.81,-5.670000000000016,142557,20200520
313.14,318.81,-5.670000000000016,142600,20200520
313.14,318.81,-5.670000000000016,142603,20200520
313.14,318.81,-5.670000000000016,142605,20200520
313.14,318.81,-5.670000000000016,142608,20200520
313.14,318.81,-5.670000000000016,142610,20200520
313.14,318.81,-5.670000000000016,142612,20200520
313.14,318.64,-5.5,142615,20200520
313.14,318.64,-5.5,142617,20200520
313.14,318.64,-5.5,142619,20200520
313.14,318.64,-5.5,142622,20200520
313.14,318.6,-5.460000000000036,142624,20200520
313.14,318.6,-5.460000000000036,142627,20200520
313.14,318.55,-5.410000000000025,142629,20200520
313.14,318.55,-5.410000000000025,142631,20200520
313.14,318.55,-5.410000000000025,142634,20200520
313.14,318.55,-5.410000000000025,142636,20200520
313.14,318.55,-5.410000000000025,142638,20200520
313.14,318.55,-5.410000000000025,142641,20200520
313.14,318.55,-5.410000000000025,142643,20200520
313.14,318.55,-5.410000000000025,142645,20200520
313.14,318.55,-5.410000000000025,142648,20200520
313.14,318.55,-5.410000000000025,142650,20200520
313.14,318.55,-5.410000000000025,142653,20200520
313.14,318.55,-5.410000000000025,142655,20200520
313.14,318.55,-5.410000000000025,142657,20200520
313.14,318.55,-5.410000000000025,142659,20200520
313.14,318.55,-5.410000000000025,142702,20200520
313.14,318.55,-5.410000000000025,142704,20200520
313.14,318.55,-5.410000000000025,142706,20200520
313.14,318.59,-5.449999999999989,142709,20200520
313.14,318.59,-5.449999999999989,142711,20200520
313.14,318.59,-5.449999999999989,142714,20200520
313.14,318.59,-5.449999999999989,142716,20200520
313.14,318.59,-5.449999999999989,142719,20200520
313.14,318.59,-5.449999999999989,142721,20200520
313.14,318.59,-5.449999999999989,142723,20200520
313.14,318.59,-5.449999999999989,142726,20200520
313.14,318.59,-5.449999999999989,142728,20200520
313.14,318.65,-5.509999999999991,142730,20200520
313.14,318.65,-5.509999999999991,142733,20200520
313.14,318.65,-5.509999999999991,142735,20200520
313.14,318.65,-5.509999999999991,142737,20200520
313.14,318.65,-5.509999999999991,142739,20200520
313.14,318.65,-5.509999999999991,142742,20200520
313.14,318.65,-5.509999999999991,142744,20200520
313.14,318.66,-5.520000000000039,142746,20200520
313.14,318.66,-5.520000000000039,142749,20200520
313.14,318.66,-5.520000000000039,142751,20200520
313.14,318.66,-5.520000000000039,142753,20200520
313.14,318.66,-5.520000000000039,142756,20200520
313.14,318.66,-5.520000000000039,142758,20200520
313.14,318.66,-5.520000000000039,142800,20200520
313.14,318.66,-5.520000000000039,142803,20200520
313.14,318.66,-5.520000000000039,142805,20200520
313.14,318.66,-5.520000000000039,142807,20200520
313.14,318.66,-5.520000000000039,142810,20200520
313.14,318.66,-5.520000000000039,142813,20200520
313.14,318.72,-5.580000000000041,142815,20200520
313.14,318.72,-5.580000000000041,142817,20200520
313.14,318.81,-5.670000000000016,142820,20200520
313.14,318.81,-5.670000000000016,142822,20200520
313.14,318.81,-5.670000000000016,142824,20200520
313.14,318.81,-5.670000000000016,142827,20200520
313.14,318.81,-5.670000000000016,142829,20200520
313.14,318.81,-5.670000000000016,142831,20200520
313.14,318.845,-5.705000000000041,142834,20200520
313.14,318.925,-5.785000000000025,142836,20200520
313.14,318.925,-5.785000000000025,142838,20200520
313.14,318.925,-5.785000000000025,142841,20200520
313.14,318.925,-5.785000000000025,142843,20200520
313.14,318.925,-5.785000000000025,142845,20200520
313.14,318.925,-5.785000000000025,142848,20200520
313.14,318.925,-5.785000000000025,142850,20200520
313.14,318.925,-5.785000000000025,142853,20200520
313.14,318.925,-5.785000000000025,142855,20200520
313.14,318.925,-5.785000000000025,142857,20200520
313.14,318.925,-5.785000000000025,142900,20200520
313.14,318.925,-5.785000000000025,142902,20200520
313.14,318.925,-5.785000000000025,142904,20200520
313.14,318.925,-5.785000000000025,142907,20200520
313.14,318.925,-5.785000000000025,142909,20200520
313.14,318.925,-5.785000000000025,142911,20200520
313.14,318.925,-5.785000000000025,142914,20200520
313.14,318.925,-5.785000000000025,142916,20200520
313.14,318.925,-5.785000000000025,142919,20200520
313.14,318.925,-5.785000000000025,142923,20200520
313.14,318.985,-5.845000000000027,142925,20200520
313.14,318.985,-5.845000000000027,142927,20200520
313.14,318.985,-5.845000000000027,142929,20200520
313.14,318.92,-5.78000000000003,142932,20200520
313.14,318.92,-5.78000000000003,142935,20200520
313.14,318.92,-5.78000000000003,142937,20200520
313.14,318.92,-5.78000000000003,142940,20200520
313.14,318.92,-5.78000000000003,142942,20200520
313.14,318.92,-5.78000000000003,142944,20200520
313.14,318.92,-5.78000000000003,142947,20200520
313.14,318.92,-5.78000000000003,142949,20200520
313.14,318.92,-5.78000000000003,142952,20200520
313.14,318.92,-5.78000000000003,142954,20200520
313.14,318.92,-5.78000000000003,142956,20200520
